tip well,tip,titrant,3.125,6.25,12.5,25,50,100,Kd,fit SE
D8,Lpd3,EVH1 only,0.24531609599999976,0.35914171,0.4872202919999998,0.6258077419999999,0.7756149719999998,0.9418936260000002,26.228384189284082,5.119547577504062
D10,SHIP2,EVH1 only,0.10656336799999955,0.16982757400000004,0.2495787360000002,0.33814719600000015,0.4345319720000003,0.531406992,26.725967545122575,3.6005592223578597
